mission,koi_id,koi_name,koi_time0bk,koi_period,koi_duration,koi_is_planet
TESS,431585347,1543.01,2458766.207930,5.136640,0.185417,0
TESS,127425841,1545.01,2458765.871530,1.516140,0.079917,0
TESS,409520860,1547.01,2458765.114160,0.719330,0.061417,0
TESS,191146556,1549.01,2458766.835450,2.585930,0.132583,0
TESS,241065596,1550.01,2458765.126770,1.623150,0.059917,0
TESS,299158887,1554.01,2459444.896746,9.434122,0.105458,1
TESS,441732151,1555.01,2458712.088790,2.099890,0.037833,0
TESS,405794804,1556.01,2458740.218730,1.441270,0.108542,0
TESS,320506985,1557.01,2458765.318970,1.086970,0.081958,0
TESS,117322779,1558.01,2458791.073010,0.686010,0.067250,0
TESS,220518305,156.01,2459128.643640,14.152000,0.149958,0
TESS,245462406,1561.01,2458791.817040,2.274560,0.138333,0
TESS,249862365,1562.01,2458791.529900,0.989990,0.085417,0
TESS,256414077,1566.01,2458793.382070,3.011060,0.128042,0
TESS,284050395,1568.01,2458765.475690,1.359320,0.117958,0
TESS,140691463,157.01,2459385.493775,2.084540,0.071417,1
TESS,285674856,1570.01,2458790.810380,1.746260,0.161667,0
TESS,285677945,1571.01,2458791.561060,1.242700,0.065125,0
TESS,292321872,1572.01,2458794.152170,8.666980,0.254333,0
TESS,302773669,1573.01,2458809.070898,21.216412,0.129546,1
TESS,307111282,1574.01,2458804.600570,nan,0.399875,0
TESS,316254876,1575.01,2458793.174590,2.460940,0.128792,0
TESS,332154944,1577.01,2458791.368820,0.998370,0.068000,0
TESS,348135793,1578.01,2458791.586780,1.977410,0.272875,0
TESS,354400186,1579.01,2458794.281720,9.077680,0.115833,0
TESS,403136413,158.01,2458326.378110,2.512660,0.100458,0
TESS,354469661,1580.01,2458792.470780,4.795390,0.201417,1
TESS,374400599,1582.01,2458791.814900,1.892530,0.143792,0
TESS,403256331,1583.01,2458765.821230,3.771880,0.121792,0
TESS,418987806,1584.01,2458791.062760,0.886540,0.069958,0
TESS,444415148,1585.01,2458764.874600,1.836410,0.092583,0
TESS,458914949,1587.01,2458796.597280,12.523000,0.185042,0
TESS,52041724,1589.01,2458800.806780,nan,0.167750,0
TESS,71854745,1590.01,2458793.510140,3.103150,0.147292,0
TESS,82010657,1591.01,2458807.936930,nan,0.335833,0
TESS,186599508,1592.01,2458794.896410,5.631807,0.143971,0
TESS,201154493,1594.01,2458792.198900,1.512330,0.107917,0
TESS,385105624,1595.01,2458793.374540,1.749030,0.077125,0
TESS,68152139,1597.01,2458792.465250,0.737720,0.044042,0
TESS,129979528,1599.01,2458791.414296,1.219868,0.119177,1
TESS,253917293,160.01,2458327.376270,4.608000,0.140958,0
TESS,187029841,1600.01,2458791.800960,0.361130,0.077917,0
TESS,139375960,1601.01,2458793.277280,5.331550,0.257958,1
TESS,73448352,1603.01,2458794.336200,4.732310,0.137875,1
TESS,118301361,1604.01,2458793.398280,3.466080,0.183458,0
TESS,26433869,1607.01,2459471.339568,1.035724,0.056917,0
TESS,229951289,1609.01,2458692.735360,13.311800,0.187167,0
TESS,264678534,1611.01,2459412.155726,16.201703,0.134868,1
TESS,268403451,1612.01,2459581.537354,2.864135,0.106792,1
TESS,272625214,1613.01,2458769.608340,5.246660,0.140708,0
TESS,317397615,1614.01,2458765.408050,0.743740,0.065458,0
TESS,322202434,1617.01,2458739.318010,1.401454,0.056792,0
TESS,376838000,1618.01,2458765.059650,2.167900,0.057917,0
TESS,388076005,1622.01,2458955.866361,1.714019,0.218066,0
TESS,461387302,1624.01,2458765.950180,5.807830,0.204583,0
TESS,470852531,1625.01,2458765.534040,1.494460,0.088083,0
TESS,157586003,1626.01,2459391.184996,3.332623,0.154739,1
TESS,424435940,1627.01,2459393.375248,5.017211,0.152193,1
TESS,284475976,1628.01,2459420.312281,2.143635,0.129544,1
TESS,310003988,1629.01,2458932.206600,4.542168,0.176749,1
TESS,179317684,163.01,2459365.506797,4.231115,0.180328,1
TESS,51024887,1632.01,2458797.344998,8.249187,0.207533,0
TESS,165551882,1633.01,2458798.104217,12.158280,0.089195,0
TESS,201186294,1634.01,2458791.515001,0.989330,0.043157,1
TESS,230086768,1635.01,2458736.130549,34.927272,0.112602,0
TESS,348673213,1639.01,2458791.468047,0.901465,0.106509,0
TESS,79395355,164.01,2458328.337330,7.318980,0.157125,0
TESS,396562848,1640.01,2458792.603719,1.949521,0.028160,1
TESS,22843856,1644.01,2459521.618633,1.849720,0.073208,0
TESS,184679932,1645.01,2458791.425546,2.172142,0.114503,0
TESS,387527558,1646.01,2458794.103356,3.623909,0.110700,0
TESS,154927364,1647.01,2458688.992010,6.973780,0.115708,0
TESS,122485078,1650.01,2458822.098740,9.150500,0.124417,0
TESS,138168780,1651.01,2459393.628255,3.764992,0.125168,1
TESS,27677846,1657.01,2458821.448540,5.625830,0.142583,0
TESS,311121985,1660.01,2458818.071420,1.356700,0.087917,0
TESS,312122956,1661.01,2459547.065465,2.049206,0.142375,0
TESS,339538183,1662.01,2458818.585530,2.609430,0.060958,0
TESS,353367071,1663.01,2458819.398740,2.375320,0.123208,0
TESS,354006740,1665.01,2458819.004170,1.764060,0.128583,0
TESS,368536386,1666.01,2458818.740120,1.694330,0.090375,0
TESS,409183335,1667.01,2458818.228150,3.321250,0.179333,0
TESS,417705690,1668.01,2458957.438830,2.363320,0.152958,0
TESS,459903429,1671.01,2458821.048760,8.136640,0.086833,0
TESS,468828873,1672.01,2458819.974430,3.896750,0.125042,0
TESS,470315428,1673.01,2458818.197460,1.086250,0.105583,0
TESS,73104318,1674.01,2458822.593240,7.454940,0.144375,0
TESS,8400842,1676.01,2458819.064098,3.191584,0.122032,1
TESS,96291218,1678.01,2459519.622274,6.852895,0.112125,0
TESS,9837861,1679.01,2458817.937500,0.657250,0.083250,0
TESS,367366318,1682.01,2459546.700984,2.734764,0.133958,1
TESS,28900646,1685.01,2458816.225016,0.669174,0.038025,1
TESS,183120439,169.01,2459062.718052,2.255446,0.069494,1
TESS,267574918,1690.01,2459419.987351,1.407933,0.009965,1
TESS,23650642,1700.01,2458843.380290,1.123550,0.067125,0
TESS,371210825,1702.01,2458842.749620,0.403120,0.035542,0
